Year,cluster,DivisionNm,StateAb,Metro_Area,Metro,ALP,COAL,GRN,Other,Household_Standalone,Language_English_Only,Household_Flat,Religion_Anglican_Uniting_Presbyterian,Education_Bachelor,Education_Diploma_or_Certificate,Income_1_to_999,Australian_Citizens,Household_Rented,Household_Semi_detached,Household_Owned_outright,Education_Postgraduate,Age_Gen_Y,Language_Chinese,Income_2000_or_more,Income_1000_to_1999,Age_Baby_Boomers,Relationship_Group_Household,Religion_No_Religion_Secular,Household_Owned_with_a_mortgage,Religion_Catholic,Relationship_Living_Alone,Religion_Islam,Relationship_Married,Relationship_De_Facto,Language_Arabic,Relationship_Child_under_15,Relationship_Non_dependent_Child,Age_Gen_Z,Education_Not_Stated,Household_Social_or_community,Age_Silent_Gen,Age_Gen_X,Religion_Other_Christianity
2007,2,Capricornia,QLD,Non Metropolitan,No,12.401986529010417,-5.765113454144583,-4.660502220289592,-1.2423302922970296,88.82274726398691,90.46411503253402,5.815689884422625,35.3617252476282,11.39240506329114,6.706739268792872,63.261587313042384,88.36400874980842,28.366574613889743,2.583614605707272,33.56448808427943,1.5741460999929284,22.87727472902135,0.19436819885469064,4.4499972937377095,14.921428184819671,26.040231272995893,2.6071965552258076,16.21668686699823,29.125498619208347,25.4475418286176,9.11023119976699,0.1420988841058219,37.82954035565562,8.182125904292585,0.01114656337517939,23.395495658608393,5.281304857792857,14.311792365718182,20.565730853546427,4.98312365756367,12.180898668901737,21.312488457659143,8.688232262019197
2010,1,Casey,VIC,Greater Melbourne,Yes,-2.3989570476363298,4.5198741971518714,-0.44919556966752694,0,88.52437787322211,89.18557570324904,3.893553191030151,22.8578376242439,19.57323453232474,57.829465342458704,60.68847434539125,90.2876030545952,14.866294002115124,7.336024000172663,34.131180799861866,3.4082917374225974,21.06151110300488,0.979193096270862,4.274822158316937,21.16316028454669,25.01633912422294,1.808261761312652,30.113377306301103,46.552133468586106,22.170126751572997,7.718561722856044,0.3100398188394784,40.79204589155236,6.900557620817844,0.21346257568045943,20.009453916164595,7.728977054223818,19.66850576809083,13.537110413557691,1.5906589256037813,8.569300685483258,22.07757664189199,12.523936897778048
2016,0,Bruce,VIC,Greater Melbourne,Yes,10.012251364145662,-2.109139500852848,-3.030869720013344,-4.51298716513024,73.99188194681537,38.19138701106729,10.339137362012064,9.13417734423284,30.33907592788121,38.42504109808743,54.102179043182446,71.17981000197517,27.908652934258942,14.874246045294184,36.00015173931186,11.718635142540196,24.495099069491943,14.4562883484444,5.35413282662662,18.678935915903033,20.32214303456446,4.473022467610561,22.96414758934431,28.712871287128714,19.364252081886473,7.153692669327065,8.022351209628605,41.999672005685234,3.2806264691412017,1.5737596289240454,17.12745312414585,7.364839009457169,18.38724675341218,14.458507638229907,2.5587041462766966,6.634567004859532,20.6673417786015,8.142135343328087
2007,1,Tangney,WA,Greater Perth,Yes,-11.80289578971916,9.474653742093937,1.0378367969787838,2.090332989578907,86.1987491313412,77.39877361535216,3.3240676395645123,27.824769913262266,23.84201936064836,13.57355920756416,60.661753586514905,83.23044586408923,17.81792911744267,10.435487607134585,41.61223071577484,5.114531742458352,25.54524611602672,7.66614532906333,5.83923944712726,17.637688903227108,29.041442843308474,2.247758443491512,20.046513937628287,35.81885568681955,24.91226908561213,8.353120459297587,1.373899225319473,43.23280292022539,4.513236701279371,0.4344480027804672,18.24166282737357,7.010844526349364,10.515076520688314,13.04592525889239,1.3759555246699096,12.883948450963029,17.563753445293294,9.386380189366353
2010,1,Pearce,WA,Greater Perth,Yes,-8.617094892960779,9.128093733140725,1.351936138252336,-1.0423042021336435,94.88589977840844,85.61527268947957,1.0710259301014655,27.0725051975052,16.02073216286888,56.218092391981074,52.445970920076626,81.8211939891243,17.04505695292151,3.411343933444777,27.71060918244373,2.674013198854439,19.837577962577964,0.43781016966768,7.134960886406022,22.321330621682517,22.98531704781705,1.6004458384835776,27.41943866943867,48.938692998483845,20.830951143451145,6.563971392030637,1.0109147609147608,40.189052664670875,8.599538442851937,0.4319640398056487,23.643014839848245,5.935224812626375,23.046387733887737,19.06207197111194,2.715468646736384,8.172427234927236,23.54274948024948,9.580951143451143
2016,1,Cowan,WA,Greater Perth,Yes,7.383038941127595,0.2896770943193019,-2.869893898668301,-2.3213627761416307,88.81117446773598,68.56269361912703,0.30971817697009474,15.242782285671677,21.66656149428914,56.17309269893355,49.91997934950955,82.42734834156956,16.31250769167658,10.239159863806046,26.60294539935185,3.9565848425569503,22.563000718458973,2.4132484629098623,7.139907072792979,24.567200137669936,19.48853854600171,2.213266622930019,28.199757319396145,50.7568609755097,23.52713887702601,6.3161006135146245,4.206915719331069,39.251238203721464,6.8618474648364565,1.5652221069828294,21.529965611459964,7.499873836593156,22.491154821130827,13.958477945352431,2.7710546826927023,4.29787580148843,22.83140614621318,10.657610206142936
2007,0,Swan,WA,Greater Perth,Yes,-2.854052475005652,2.546323423767504,2.3120118262986313,-1.5595507040547671,62.17852323115481,72.62697996351308,16.200115673799885,22.560388364718317,21.01736295988468,11.493058711998234,61.81645837551306,76.56399254607808,31.983805668016196,21.359167148640832,27.00597647966069,4.233601288261497,24.14200812772588,4.7652231104708065,4.006000257679777,15.39176529053395,23.29243369795867,7.155742633794348,21.24730846024351,28.9955658376711,24.809145362721686,16.047363022178203,3.4647457228986416,32.763255632980794,8.452124084751159,0.8769388570041576,15.303668069753458,5.048459552191291,10.123638527613126,19.425217199329897,7.663389242336611,12.062390866879126,25.055790025917897,8.847042242493051
2010,2,Forrest,WA,Non Metropolitan,No,-9.640315110457298,10.989603844148832,1.7875437266922578,-2.3920410056500057,88.7298961675668,89.12440016354286,3.0671423162006497,28.690076598674583,16.892352820792688,60.78688860085954,56.88671333770874,85.95318685101256,24.62482810849593,6.594654921577615,30.63156426251071,1.969779657548264,18.843864304669008,0.3471699195914298,7.199372857872092,20.185225698242544,24.940830524277416,2.4409856295529635,28.804113951286684,36.96713633736572,21.048856757609663,9.17001711715298,0.37940729265283873,39.0486047529955,9.405676525616018,0.10329022401067332,21.90597508060985,5.022889216193623,21.337588754213584,14.637765195443071,4.330669430217032,9.038227067345622,22.436347988237827,8.460997790974552
2016,1,Burt,WA,Greater Perth,Yes,12.50854322615021,-6.7914534745977235,-2.185955620260284,0.20543367377559996,87.60571906771362,66.99233909431861,0.8279472250413974,16.18744038061607,22.262681568700412,52.3422860712055,47.96737490809033,75.94191220471741,19.544896105977244,11.10873706888877,23.34633121450065,6.333807327866892,25.226474230224607,6.439782200392229,6.985893286235152,24.505203793121744,18.212142218114383,2.5177180994756077,29.86508985122557,50.755835692537794,18.46141996338407,6.844430319402511,5.146967335983742,38.25202606070237,7.13173367233434,1.0848506034518512,22.17384395359924,6.626410297155569,21.874833365919553,15.132829215782689,2.604917828463579,3.930490629980507,22.040134373722474,11.616374074973782
2007,1,Stirling,WA,Greater Perth,Yes,-2.6109499758346786,5.289753281814335,-0.30904635092347643,-1.6605092807564104,63.66588071585946,71.66159994401984,9.468130338989605,20.950448243956675,19.383481764206955,11.541825699745548,65.09095339400017,83.22252031571989,25.779830698465464,26.508445750067644,32.178887557496815,3.03223070398643,20.77216174183515,2.0090656756105334,3.682183256328313,16.260086408067252,24.552099533437016,3.780321682700036,18.465473941203456,32.20981021220672,29.18989526719694,14.148285402441813,2.4888619346411325,37.14242201182831,7.175673274614819,1.183358342987319,17.19589478048244,6.236515470721121,11.577760497667184,17.37436386768448,6.097560975609756,13.982115085536549,24.707620528771383,11.292793108006189
